Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2014,South Africa,5,1.1,3.8,2554,227838160,33.4,13,25.8
2018,UK,22.9,17.4,3,865,531510898,23.8,5,19.8
2011,Russia,23.2,1.8,4.7,2157,1034642225,11.5,5,31.8
2022,Germany,12.4,19.1,2.8,1961,272039781,9.2,1,25.1
2019,Canada,21.8,1,4.9,2524,1395185778,5.8,1,51
2002,Brazil,11.8,14,3,2976,367803209,44.3,13,51
2004,Argentina,9.8,2.1,1.5,1290,742981303,15.6,1,40.1
2018,UK,24.5,18.3,4.1,1246,78354231,14.5,9,56.7
2006,USA,14.8,9.6,3.7,2914,772375173,38.1,11,60.5
2020,China,22.7,3.2,4.1,812,491426196,19.4,0,44.8
2008,Argentina,18,7.1,4.8,1037,1209391736,27.8,4,47.1
2006,Mexico,34.5,3.7,4.1,1420,1017231293,12.3,7,27
2017,Mexico,9.5,3.8,3.4,1577,1216476753,48.2,1,63.7
2003,India,18.9,19,4.4,1990,322675191,43.3,12,11.5
2013,Argentina,25.4,9.2,3.7,2881,1075399963,43.9,14,30.9
2017,China,16.9,15.9,2.6,1297,456955256,23.3,4,53.3
2008,Russia,34.2,13,4.5,847,1031018863,39.3,11,14.8
2020,South Africa,26.7,13.7,1.9,772,491644777,11.5,7,21
2001,Japan,24.7,3.1,3.9,1219,838339418,5.4,9,45.4
2019,India,27.7,5.1,4.5,2273,1097734281,5.9,13,43.6
2014,Mexico,33.6,15.8,3.9,1184,22094509,31.4,4,54.3
2006,Brazil,32.2,19.4,3.8,2626,1155260147,25.5,1,58.8
2011,Brazil,26.7,5.6,4,1121,267058271,28.3,2,17.7
2007,USA,27.5,5.8,2.9,2539,330887513,5.3,14,11.1
2014,Russia,9.4,9.7,4.5,1446,513004938,24,5,51.4
2002,Germany,8.1,19.7,1.8,2905,1254853974,37.3,10,28.1
2013,Mexico,22.1,5.7,1.5,1006,157599009,24.9,10,47.6
2016,Indonesia,5.6,8.4,2.1,2082,227533555,37.9,4,19
2003,Russia,19.5,17.9,3.1,743,507687964,15.5,10,38.1
2017,South Africa,11.3,0.6,3,1005,941922654,41.6,3,40.3
2007,Japan,15.4,1.3,4.3,921,194923647,31.5,3,45.1
2003,China,28.3,12.3,2.6,2764,205087750,14.5,4,40.8
2001,Argentina,33.2,18.2,2.9,2372,1078565697,15.7,1,39.7
2005,Mexico,7.2,5.2,1.1,1692,1128035409,33.3,8,30
2021,Argentina,21,9.7,2.6,829,432913646,42.3,1,14.3
2009,Brazil,31.5,9.3,3.6,1149,172465953,23.7,9,15.4
2003,China,7.5,9.7,1.1,1964,502277267,16.6,1,36
2021,China,29.7,12.6,2.1,890,334345649,44,9,31.3
2017,China,15.7,9.7,1.8,2019,305543477,35.1,13,41
2011,Brazil,14.7,9.2,1.2,880,661509073,25.2,8,28.3
2001,South Africa,34.3,9.7,2.9,1241,1356204695,27,13,51.3
2009,Argentina,11,12,1.7,2510,504454279,14.2,2,61.8
2003,France,25.8,11,4,1319,458944956,33.2,14,27.9
2013,Argentina,29.6,17.2,4.4,1172,994673524,21.1,9,21.6
2015,Australia,6.2,1.5,3.2,2271,428326345,49.8,6,17
2014,Japan,25.1,16.7,4.9,1711,1146020851,26.6,3,47
2007,Indonesia,33.5,17,2.8,1429,278626073,26.9,12,36.6
2013,France,8.7,6.1,3.1,2039,72414944,30.5,12,21.3
2022,Japan,31.9,9.5,5,1412,433898990,46.3,5,49.2
2007,India,22.8,9.1,1.9,1143,1223349324,41,13,18.9
2020,Russia,23.5,4.8,4.8,926,863711591,25.3,3,43.3
2015,Russia,23.4,8.2,1.2,1001,74913944,37.3,9,41.6
2012,Canada,14,1.4,2.8,1229,1225949571,31.4,14,54.1
2017,Russia,33.1,5.9,1.3,1783,562654674,27.2,6,13.3
2014,Argentina,33.4,16.4,3.9,2618,796318481,13.7,0,63.3
2020,Brazil,23.8,6,3.4,956,1246729629,25.9,2,52.2
2023,Indonesia,28.5,16.5,3.8,2736,866280953,16.1,12,23
2012,Germany,23.4,10.9,2.5,790,1108141910,46.2,2,21
2008,USA,19.5,17.7,2.5,1419,1140062010,20.1,0,35.9
2014,Canada,24.8,11.7,1.2,2839,1211830133,47.9,5,59.1
2012,UK,21.6,1.1,2.4,2469,730110223,29,14,60.6
2000,UK,22.9,13.7,4.7,1255,1366969728,33.4,12,41.2
2006,USA,28.5,1.4,2.5,2158,411773643,29.4,10,61.6
2008,Japan,19.4,9.3,4.3,2334,242481524,10.8,13,10.3
2023,USA,6.2,18.6,4.4,1806,487618104,21.9,8,12.1
2000,USA,9.9,3.7,2.5,2067,739358801,9.5,7,64.7
2011,UK,18.2,8.1,3.5,2369,204257967,33,10,56.5
